mandi,item,category,min_price,max_price,retail_price,unit
سیالکوٹ,چاول باسمتی,Grain,235.0,256.0,310.0,KG
سیالکوٹ,چاول باسمتی سپر,Grain,235.0,255.0,340.0,KG
سیالکوٹ,چاول اری 6,Grain,162.0,173.0,190.0,KG
سیالکوٹ,چاول اری 9,Grain,178.0,186.0,210.0,KG
سیالکوٹ,چاول کائنات,Grain,235.0,265.0,320.0,KG
سیالکوٹ,صنم سوکھی لال مرچ,Grain,18000.0,23500.0,24500.0,Mann
سیالکوٹ,تل,Grain,12900.0,15600.0,16600.0,Mann
سیالکوٹ,سورگم,Grain,3300.0,4000.0,4300.0,Mann
سیالکوٹ,سورج مکھی,Grain,5600.0,6700.0,7200.0,Mann
سیالکوٹ,گندم,Grain,2340.0,2520.0,2700.0,Mann
سیالکوٹ,توڑی,Grain,1010.0,1160.0,1300.0,Mann
سیالکوٹ,چینی,Grain,160.0,168.0,180.0,KG
