mandi,item,category,min_price,max_price,retail_price,unit
قصور,پیڈی کائنات,Grain,4200.0,4600.0,4900.0,Mann
قصور,سیلا باسمتی,Grain,240.0,260.0,320.0,KG
قصور,سیلا باسمتی سپر,Grain,260.0,280.0,340.0,KG
قصور,سیلا اری 6,Grain,2600.0,2850.0,3200.0,Mann
قصور,سیلا اری 9,Grain,3400.0,3600.0,3900.0,Mann
قصور,سیلا کائنات,Grain,250.0,280.0,340.0,KG
قصور,مونگ پھلی,Grain,320.0,470.0,720.0,KG
قصور,لال لوبیا,Grain,470.0,520.0,580.0,KG
قصور,چاول باسمتی,Grain,210.0,230.0,300.0,KG
قصور,چاول باسمتی سپر,Grain,230.0,250.0,320.0,KG
قصور,چاول اری 6,Grain,155.0,168.0,190.0,KG
قصور,چاول اری 9,Grain,175.0,182.0,210.0,KG
قصور,چاول کائنات,Grain,228.0,240.0,330.0,KG
قصور,صنم سوکھی لال مرچ,Grain,18800.0,26500.0,28000.0,Mann
قصور,تل,Grain,12000.0,14500.0,15500.0,Mann
قصور,سورگم,Grain,4400.0,5400.0,6000.0,Mann
قصور,سورج مکھی,Grain,5600.0,6300.0,6800.0,Mann
قصور,تارامیرا,Grain,103.0,118.0,155.0,KG
قصور,گندم,Grain,2220.0,2340.0,2600.0,Mann
قصور,توڑی,Grain,900.0,980.0,1150.0,Mann
قصور,چینی,Grain,150.0,155.0,165.0,KG
نوشہرہ ورکاں,بنولا,Grain,2220.0,2460.0,2850.0,Mann
نوشہرہ ورکاں,شکر,Grain,168.0,185.0,220.0,KG
نوشہرہ ورکاں,کنولا,Grain,6000.0,6550.0,6800.0,Mann
نوشہرہ ورکاں,کپاس,Grain,8500.0,9150.0,9800.0,Mann
نوشہرہ ورکاں,سونف,Grain,665.0,730.0,800.0,KG
نوشہرہ ورکاں,سونف درجہ اول,Grain,910.0,960.0,1050.0,KG
نوشہرہ ورکاں,سونف درجہ دوئم,Grain,790.0,850.0,940.0,KG
نوشہرہ ورکاں,السی,Grain,340.0,362.0,410.0,KG
نوشہرہ ورکاں,کالا چنا,Grain,262.0,274.0,360.0,KG
نوشہرہ ورکاں,چنا دیسی,Grain,135.0,145.0,200.0,KG
نوشہرہ ورکاں,بیسن,Grain,276.0,292.0,370.0,KG
نوشہرہ ورکاں,چنا دال,Grain,255.0,277.0,370.0,KG
نوشہرہ ورکاں,چنا سفید,Grain,262.0,274.0,370.0,KG
نوشہرہ ورکاں,چارہ,Grain,170.0,180.0,220.0,KG
نوشہرہ ورکاں,گڑ,Grain,197.0,213.0,240.0,KG
نوشہرہ ورکاں,کھل بنولا,Grain,2400.0,2700.0,3000.0,Mann
نوشہرہ ورکاں,مکئی,Grain,1840.0,2250.0,2450.0,Mann
نوشہرہ ورکاں,مکئی سایلیج,Grain,21.0,24.0,30.0,KG
نوشہرہ ورکاں,ماش,Grain,372.0,387.0,410.0,KG
نوشہرہ ورکاں,ماش دال دیسی,Grain,200.0,210.0,280.0,KG
نوشہرہ ورکاں,ماش دال امپورٹڈ,Grain,480.0,510.0,600.0,KG
نوشہرہ ورکاں,مسور دال دیسی,Grain,245.0,260.0,360.0,KG
نوشہرہ ورکاں,مسور دال امپورٹڈ,Grain,245.0,258.0,320.0,KG
نوشہرہ ورکاں,مسور ثابت دیسی,Grain,190.0,195.0,220.0,KG
نوشہرہ ورکاں,مسور ثابت امپورٹڈ,Grain,122.0,126.0,170.0,KG
نوشہرہ ورکاں,باجرہ,Grain,4400.0,4750.0,4900.0,Mann
نوشہرہ ورکاں,مونگ,Grain,285.0,300.0,350.0,KG
نوشہرہ ورکاں,مونگ دال,Grain,352.0,362.0,410.0,KG
نوشہرہ ورکاں,سرسوں,Grain,5800.0,6300.0,6600.0,Mann
نوشہرہ ورکاں,پیڈی باسمتی سپر,Grain,5200.0,5700.0,6100.0,Mann
نوشہرہ ورکاں,پیڈی اری 6,Grain,1780.0,2250.0,2450.0,Mann
نوشہرہ ورکاں,پیڈی اری 9,Grain,2250.0,2450.0,2700.0,Mann
نوشہرہ ورکاں,پیڈی کائنات,Grain,4150.0,4700.0,5050.0,Mann
نوشہرہ ورکاں,سیلا باسمتی,Grain,236.0,262.0,340.0,KG
نوشہرہ ورکاں,سیلا باسمتی سپر,Grain,244.0,268.0,370.0,KG
نوشہرہ ورکاں,سیلا اری 6,Grain,1800.0,2300.0,2600.0,Mann
نوشہرہ ورکاں,سیلا اری 9,Grain,2600.0,2850.0,3100.0,Mann
نوشہرہ ورکاں,سیلا کائنات,Grain,248.0,270.0,370.0,KG
نوشہرہ ورکاں,مونگ پھلی,Grain,320.0,440.0,720.0,KG
نوشہرہ ورکاں,لال لوبیا,Grain,530.0,565.0,620.0,KG
نوشہرہ ورکاں,چاول باسمتی,Grain,235.0,253.0,340.0,KG
نوشہرہ ورکاں,چاول باسمتی سپر,Grain,250.0,263.0,350.0,KG
نوشہرہ ورکاں,چاول اری 6,Grain,159.0,167.0,190.0,KG
نوشہرہ ورکاں,چاول اری 9,Grain,174.0,182.0,200.0,KG
نوشہرہ ورکاں,چاول کائنات,Grain,233.0,255.0,320.0,KG
نوشہرہ ورکاں,صنم سوکھی لال مرچ,Grain,18500.0,26000.0,28000.0,Mann
نوشہرہ ورکاں,تل,Grain,12400.0,14900.0,16100.0,Mann
نوشہرہ ورکاں,سورگم,Grain,3700.0,4400.0,4800.0,Mann
نوشہرہ ورکاں,سورج مکھی,Grain,5950.0,6550.0,6900.0,Mann
نوشہرہ ورکاں,گندم,Grain,2340.0,2430.0,2650.0,Mann
نوشہرہ ورکاں,توڑی,Grain,930.0,980.0,1080.0,Mann
نوشہرہ ورکاں,چینی,Grain,159.0,164.0,175.0,KG
